"ID","Citation","Title","Year","Number.of.Studies","Screened","Include","Study","Focal.Hypothesis.Description","Design","Code.for.Interaction","Code.for.Main.Effect.vs.Interaction","TMT.theory.or.other","Method.MAPS.or.Other","Treatment.Group.2","Treatment.Group.3","Treatment.Group.4","Treatment.Group.5","Control.Group.DP.or.other","Control.Group.2","Interaction.Variable.1","Interaction.Variable.2","Interaction.Variable.3","Interaction.Variable.4","Dependent.Variable","Dependent.Variable.2","DV.Codes","DV.Types","Delay","Code.for.Delay.Task","Age.M","Entirely.College","Code.and.Location","Code.for.Location","Focal.Analysis.Description","Copy.Paste.Statistical.Result","test.Statistic","Value","df","p.value","Total.N","Statistics.1","Statistic.2","Notes","NumCells","Cell.N"
490,"Florian, V., Mikulincer, M., & Hirschberger, G. (2001b). Validation of personal identity as a terror management mechanism: Evidence that sex-role identity moderates mortality salience effects. Personality and Social Psychology Bulletin, 27(8), 1011–1022. https://doi.org/10.1177/0146167201278008","Validation of personal identity as a terror management mechanism: Evidence that sex-role identity moderates mortality salience effects.","2001",2,"","Y","2","Study 2 will examine whether mortality salience would have a similar effect on girls’ willingness to interact with female targets characterized by either masculine or feminine culturally prescribed traits.","2WX2BX4B","Ge; Target Feature","interaction (4X2X2w)","TMT","MAPS","","","","","OTHER (leisure activity)","","gender realted (sex or cross typed)","sexual orientation (masculine, feminine, androgygnous, undifferentiated)","","","willingness to socially interact with masculine female targets","","5: support for target indivudal female","Attitudes and Beliefs","1 (rating furniture)","1","information not available","n","2: Israel",2,"4X2X2 MS ANOVA","However, these significant main effects were qualified by a significant interaction for Sex-Role Group × Target Type, F(3, 195) = 6.36, p < .01, as well as by a significant three-way interaction, F(3, 195) = 4.04, p < .01.","F","4.04","3,195","NA (p<.01)",200,"F(3, 195)=4.04","","",8,25
491,"Florian, V., Mikulincer, M., & Hirschberger, G. (2002). The anxiety-buffering function of close relationships: Evidence that relationship commitment acts as a terror management mechanism. Journal of Personality and Social Psychology, 82,527-542.","The anxiety-buffering function of close relationships: Evidence that relationship commitment acts as a terror management mechanism.","2002",3,"","Y","1","Therefore, if relationship commitment acts as a death-anxiety buffer, one could expect that exposing persons to a mortality salience induction would increase their feelings of relationship commitment","2x3 BS","","main effect (2)","TMT","MAPS","","","","","OTHER (TV)","OTHER (physical pain)","","","","","Commitment to Partner","","5: commitment","Attitudes and Beliefs","1 (19 item scale on leisure related activities)","1","information not available","n","2: Israel",2,"one-way ANOVA","The ANOVA performed on the Commitment to Partner score yielded a significant effect for mortality salience, F(2, 91) = 4.63, p = .05","F","4.63","2,91","NA (p<.05)",94,"F(2, 91)=4.63","","main hypothesis was not significant",6,15.6666666666667
492,"Florian, V., Mikulincer, M., & Hirschberger, G. (2002). The anxiety-buffering function of close relationships: Evidence that relationship commitment acts as a terror management mechanism. Journal of Personality and Social Psychology, 82,527-542.","The anxiety-buffering function of close relationships: Evidence that relationship commitment acts as a terror management mechanism.","2002",3,"","Y","2","Our main hypothesis was that the activation of thoughts about relationship commitment would act as an anxiety-buffering mechanism and then would weaken the previously observed effects of mortality salience on judgments of social transgressions","2X2 BS","Content Feature","interaction (2X2)","TMT","MAPS","","","","","OTHER (TV)","","relationship commitment (yes or no)","","","","Multidimensional Social Transgressions Scale","","5: Other World","Attitudes and Beliefs","1 (19 item scale on leisure related activities)","1","information not available","y","2: Israel",2,"2X2 ANOVA","In examining the effects of mortality salience and romantic commitment salience on judgments of social transgressions, we performed a two-way ANOVA for mortality salience (mortality salience, neutral) and romantic commitment salience (low, high) on the total transgression judgment score. This ANOVA yielded significant main effects for mortality salience, F(1, 56) = 5.99, p < .05, η2 = .11, and romantic commitment salience, F(1, 56) = 4.10, p < .05, η2 = .07. Fitting previous findings (e.g., Florian & Mikulincer, 1997), participants in the mortality salience condition provided a more severe evaluation of the transgressions (M = 5.31) than did those in the neutral condition (M = 4.72). In addition, participants in the romantic commitment salience condition provided a less severe evaluation of the transgressions (M = 4.77) than did those in the no romantic commitment salience condition (M = 5.26). However, these main effects were qualified by a significant interaction, F(1, 56) = 5.88, p < .05, η2 = .10.","F","5.88","1,56","NA (p<.05)",60,"F(1, 56)=5.88","","",4,15
500,"Fransen, M. L., Smeesters, D., & Fennis, B. M. (2011). The role of social presence in mortality salience effects. Journal of Business Research, 64(1), 29–33. https://doi.org/10.1016/j.jbusres.2009.09.016","The role of social presence in mortality salience effects.","2011",2,"","Y","1","Moreover, this study hypothesizes that the effect of mortality salience on luxury brand evaluations is stronger when people are aware of the presence of others.","2X2 BS","Content Features ","interaction (2X2)","TMT","MAPS","","","","","OTHER (exam)","","Social presence","","","","Brand evaluation","","7: luxury brand evaluation","Cognition","0","0","21.4","y","2: Netherlands",2,"2X2 ANOVA","The results yielded the expected interaction effect between mortality salience and social presence (F(1, 107)= 4.66, p< .05)","F","4.66","1,107","<0.05",111,"F(1, 107)=4.66","","",4,27.75
501,"Fransen, M. L., Smeesters, D., & Fennis, B. M. (2011). The role of social presence in mortality salience effects. Journal of Business Research, 64(1), 29–33. https://doi.org/10.1016/j.jbusres.2009.09.016","The role of social presence in mortality salience effects.","2011",2,"","Y","2","Thus, the present study expects that people reminded of their mortality evaluate luxury brands more positively and non-luxury brands more negatively especially when they are aware of the presence of others.","2WX2BX2B","Content Feature; Target Feature","interaction (2X2X2m)","TMT","MAPS","","","","","DP","","social presence","luxury brands vs non luxury brands","","","brand evaluation","","7: luxury brand evaluation","Cognition","5 math questions","1","23.8","","2: Netherlands",2,"ANOVA mixed","Most focal to the main hypothesis, the expected three-way interaction between mortality salience, brands, and social presence was found (F(1, 71) = 8.21, p < .01).","F","8.21","1,71","<0.01",77,"F(1, 71)=8.21","","",4,19.25
504,"Frias, A., Watkins, P. C., Webber, A. C., & Froh, J. J. (2011). Death and gratitude: Death reflection enhances gratitude. The Journal of Positive Psychology, 6(2), 154–162. https://doi.org/10.1080/17439760.2011.558848","Death and gratitude: Death reflection enhances gratitude.","2011",1,"","Y","1","We predicted that death reflection would show enhanced gratitude compared to the control condition.","2WX3B","Content Feature","main effect (3C)","TMT","MAPS","OTHER (death reflection)","","","","OTHER (typical day)","","pre vs. post","","","","Gratitude for Life Scale","Grateful state","1: other graditude","Affect and Emotion","1 (PANAS)","1","information not available","y","1: USA",1,"2X3 MS ANCOVA","Our principal analysis involved our two dependent variables: gratitude for life and grateful state. For our grateful state variable, we conducted a univariate GLM ANCOVA where pre-test state gratitude was the covariate and post-test state gratitude was the dependent variable. Results showed that the effect of condition was significant as expected, F(2, 109) = 5.92, p = 0.004, η 2 p = 0.10.","F","5.92","2,109","0.004",116,"F(2, 109)=5.92","","",3,38.6666666666667
508,"Friedman, R. S., & Arndt, J. (2005). Reexploring the Connection Between Terror Management Theory and Dissonance Theory. Personality and Social Psychology Bulletin, 31(9), 1217–1225. https://doi.org/10.1177/0146167204274077","Reexploring the Connection Between Terror Management Theory and Dissonance Theory.","2005",1,"","Y","1","because TMT suggests that the awareness of death motivates the need to maintain a consistent and stable conception of one’s place in the world, we predicted that this dissonance reduction would be significantly greater among individuals for whom mortality was rendered salient.","2X2 BS","Tr","interaction (2X2)","TMT","MAPS","","","","","OTHER (uncertainty)","","high choice vs low choice","","","","intrest in passage","","7. interest in passage","Cognition","word search","1","information not available","y","1: USA",1,"2X2 ANOVA","More importantly, the ANOVA also revealed that the two-way interaction between choice and condition was significant, F(1, 58) = 5.96, p < .02, suggesting that MS, relative to uncertainty salience, indeed further bolsters dissonance reduction","F","5.96","1,58","<0.02",73,"F(1, 58)=5.96","","",4,18.25
510,"Friese, M., & Hofmann, W. (2008). What would you have as a last supper? Thoughts about death influence evaluation and consumption of food products. Journal of Experimental Social Psychology, 44(5), 1388–1394. https://doi.org/10.1016/j.jesp.2008.06.003","What would you have as a last supper? Thoughts about death influence evaluation and consumption of food products.","2008",2,"","Y","2","We expected participants in the mortality salience condition to evaluate the local chocolate (relative to the foreign chocolate) as better, and also to consume more of the local chocolate (relative to the foreign chocolate) than participants in the control condition.","2WX2B","Target Feature","interaction (2X2w)","TMT","MAPS","","","","","DP","","Swiss chocolate vs. German chocolate","","","","product evaluation","","5: nationalism","Attitudes and Beliefs","filler task","1","21.71","n","2: Switzerland",2,"2X2 mixed ANOVA","As expected, this effect was qualified by a significant interaction between condition and type of chocolate, F(1, 40) = 6.98, p = .012","F","6.98","1,40","",49,"F(1, 40)=6.98","","not significant",2,24.5
512,"Frischlich, L., Rieger, D., Dratsch, T., & Bente, G. (2015). Meet Joe Black? The effects of mortality salience and similarity on the Desire to Date in-group versus out-group members online. Journal of Social and Personal Relationships, 32(4), 509–528. https://doi.org/10.1177/0265407514536305","Meet Joe Black? The effects of mortality salience and similarity on the Desire to Date in-group versus out-group members online.","2015",1,"","Y","1","Candidates who are both, in-group members and similar, were predicted to be more attractive after MS than the control group (H3)...We predicted that after MS the same pattern would emerge with similarity affecting attraction only for in-group members (H4).","2X2X2 BS","Target Feature; Target Feature","interaction (2X2X2)","TMT","MAPS","","","","","OTHER (important topics of life)","","ingroup vs outgroup","similar vs. dissimilar","","","Choice of candidate for long-term partner","1 (video)","5: Ingroup Canidate","Attitudes and Beliefs","5 minutes","1","24.35","y","2: Germany",2,"2X2X2 ANOVA","More relevant, the predicted three-way interaction also reached significance, F(1, 241) = 4.13, p < .04, r = .13","F","4.13","1,241","NA (p<.001)",249,"F(1, 241)=4.13","","used the first hypothesis they stated",8,31.125
513,"Frischlich, L., Rieger, D., Hein, M., & Bente, G. (2015). Dying the right-way? Interest in and perceived persuasiveness of parochial extremist propaganda increases after mortality salience. Frontiers in Psychology, 6. Retrieved from http://ezproxy.library.ubc.ca/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2015-40898-001&site=ehost-live&scope=site","Dying the right-way? Interest in and perceived persuasiveness of parochial extremist propaganda increases after mortality salience.","2015",1,"","Y","1","but we predicted that, under conditions of threat, German students would report increased interest (H1) in the right-wing extremist propaganda and perceive the videos as more persuasive (H2). Moreover, increased interest should be positively associated with an increased persuasiveness ascribed to these videos (H3).","2BX2W","Cu","interaction (2X2)","TMT","MAPS","","","","","OTHER (exam)","","ingroup vs outgroup - nationality ","","","","interest in message","","7: evaluation of propoganda","Cognition","35 raven matricies","1","information not available","y","2: Germany",2,"2X2 ANOVA","As predicted in H1, condition (Block 2) significantly predicted interest, Fchange(1,96) = 4.27, p < 0.05. Subjects under conditions of MS reported more interest in the right-wing extremist propaganda than did subjects in the control condition.","F","4.27","1,96","NA (p<.05)",109,"F(1, 96)=4.27","","",2,54.5
515,"Fritsche, I., & Häfner, K. (2012). The malicious effects of existential threat on motivation to protect the natural environment and the role of environmental identity as a moderator. Environment and Behavior, 44(4), 570–590. https://doi.org/10.1177/0013916510397759","The malicious effects of existential threat on motivation to protect the natural environment and the role of environmental identity as a moderator.","2012",2,"","Y","1","We hypothesized mortality salience to decrease biocentric but not anthropocentric motivation (Studies 1 and 2)","2WX2B","Stc","interaction (2X2w)","TMT","MAPS","","","","","DP","","anthropocentric vs. biocentric","","","","proenvironmental motivation","","5: other motivation for proenvironmentalism","Attitudes and Beliefs","1 (PANAS)","1","21.3","y","2: Germany",2,"2X2 ANOVA","A 2 (mortality salient/mortality not salient) × 2 (anthropocentric/biocentric motivation) analysis of variance with repeated measurement on the latter factor revealed the predicted interaction, F(1, 67) = 3.85; p = .05; η² = .05, which was the only effect approaching significance.","F","3.85","1,67","0.05",69,"F(1, 67)=3.85","","",2,34.5
518,"Fritsche, I., & Jonas, E. (2005). Gender conflict and worldview defence. British Journal of Social Psychology, 44(4), 571–581. https://doi.org/10.1348/014466605X27423","Gender conflict and worldview defence.","2005",1,"","Y","1","We thus hypothesize that MS leads to an increased positive evaluation of the promotion of women's interests in women, but leads to the devaluation of these concerns in men.","2X2 BS","Ge","interaction (2X2)","TMT","OTHER (disease)","","","","","DP","","Gender","","","","","evaluation of women courses","5: support for target programs women's interest","Attitudes and Beliefs","1 (PANAS)","1","19","y","2: Germany",2,"2X2 ANOVA","Most relevant to our hypothesis, a significant interaction of MS and sex occurred, indicating the predicted gender differences followed by the MS manipulation, F(1, 53) = 6.72, p=.006.","F","4.37","1,51","0.02",64,"F(1, 51)=4.37","","",4,16
520,"Fritsche, I., Jonas, E. & Fankhänel, T. (2008). The role of control motivation in mortality salience effects on ingroup support and defense. Journal of Personality and Social Psychology, 95, 524-541.","The role of control motivation in mortality salience effects on ingroup support and defense.","2008",3,"","Y","2","We predicted that control motivation should be increased following a classical pure death treatment, compared with both self-determined death and dental pain salience treatment conditions.","1X3 BS","","main effect (2)","TMT","MAPS","MAPS, modified to be self determined death","","","","DP","","","","","","control motivation difference measure","","7: other control motivation","Cognition","1, PANAS","1","21.9","y","2: Germany",2,"planned contrast","As predicted, contrast analyses revealed an effect of critical Contrast A (2 - 1-1), F(1, 91) = 5.81, p <.02","F","5.81","1,91","NA (p<.02)",97,"F(1, 91)=5.81","","",3,32.3333333333333
522,"Fritsche, I., Jonas, E., Fischer, P., Koranyi, N., Berger, N., & Fleischmann, B. (2007). Mortality salience and the desire for offspring. Journal of Experimental Social Psychology, 43(5), 753–762. https://doi.org/10.1016/j.jesp.2006.10.003","Mortality salience and the desire for offspring.","2007",3,"","Y","1","We examined the hypothesis that desire for offspring is increased following MS in a German sample.","2X2 BS","Ge","main effect (2XC)","TMT","OTHER (The Projective Life Attitudes Assessment)","","","","","DP","","Gender","","","","desire for children","","2: offspring","Desire","PANAS","1","24","y","2: Germany",2,"2X2 ANOVA (main effect predicted)","revealed a main effect of MS, F(1,90) = 7.80; p < .01,","F","7.8","1,90","<.01",94,"F(1,90)=7.8","","",4,23.5
523,"Fritsche, I., Jonas, E., Fischer, P., Koranyi, N., Berger, N., & Fleischmann, B. (2007). Mortality salience and the desire for offspring. Journal of Experimental Social Psychology, 43(5), 753–762. https://doi.org/10.1016/j.jesp.2006.10.003","Mortality salience and the desire for offspring.","2007",3,"","Y","2","We assume that if having or anticipating children acts as an anxiety buffer, offspring-related thoughts should be increased in the MS compared to the MNS condition.","2X2 BS","Ge","main effect (2XC)","TMT","MAPS","","","","","DP","","Gender","","","","children-related word completions","","7: other word completion","Cognition","PANAS","1","21.4","y","2: Germany",2,"2X2 ANOVA (main effect predicted)","the only effect we found was a main effect for MS, F(1,139) = 4.87; p < .05","F","4.87","1,139","<.05",140,"F(1, 139)=4.87","","",4,35
524,"Fritsche, I., Jonas, E., Fischer, P., Koranyi, N., Berger, N., & Fleischmann, B. (2007). Mortality salience and the desire for offspring. Journal of Experimental Social Psychology, 43(5), 753–762. https://doi.org/10.1016/j.jesp.2006.10.003","Mortality salience and the desire for offspring.","2007",3,"","Y","3","Hypothesis that MS effects on WD disappear under conditions of salient offspring.","2WX2BX2B","Belief/Attitude; Target Features","interaction (2X2X2XC)","TMT","MAPS","","","","","DP","","offspring salient vs. not","ingroup vs. outgroup target","","","ingroup bias","","5: ingroup German","Attitudes and Beliefs","PANAS & others","2","23.4","y","2: Germany",2,"2X2X2X2 ANOVA (three-way interaction predicted)","However, most impor- tantly, the analysis revealed the predicted three-way interaction, F(1,50) = 5.94; p < .05","F","5.94","1,50","<.05",58,"F(1,50)=5.94","","No sure, reported 2 (MS/MNS) × 2 (offspring salient/offspring not salient) × 2 (male/female) × 2 (ingroup/outgroup target) ANOVA instead of the reported design in the procedure.",4,14.5
525,"Fritsche, I., Jonas, E., Kayser, D. N., & Koranyi, N. (2010). Existential threat and compliance with pro-environmental norms. Journal of Environmental Psychology, 30(1), 67–79. https://doi.org/10.1016/j.jenvp.2009.08.007","Existential threat and compliance with pro-environmental norms.","2010",3,"","Y","1","We hypothesized that MS should increase liking of an advertisement for an eco-friendly car, 2 pro-environmental cognitions, and the relative preference for appropriating a DVD movie on environmental (vs. neutral) topics in the pro-, compared to the anti-environmental norm condition.","2WX2BX2B","Content Feature; Target Feature","interaction (2X2X2w)","TMT","MAPS","","","","","DP","","pro vs. anti-environmental norm","Expedition vs. Prius","","","car advertisement","","5: other worldview pro vs. anti- environmental cars","Attitudes and Beliefs","PANAS + puzzle","2","20.02","y","1: USA",1,"2X2X2 mixed ANOVA","These interactions were qualified by the predicted three-way interaction of MS, norm prime, and car, F(1, 79) = 5.25; p = .025.","F","5.25","1,79","0.25",85,"F(1, 79)=5.25","","",4,21.25
526,"Fritsche, I., Jonas, E., Kayser, D. N., & Koranyi, N. (2010). Existential threat and compliance with pro-environmental norms. Journal of Environmental Psychology, 30(1), 67–79. https://doi.org/10.1016/j.jenvp.2009.08.007","Existential threat and compliance with pro-environmental norms.","2010",3,"","Y","2","We predicted that for people in the common interest norm conditions, a death prime would lead people to behave less greedily than a control prime, whereas the reverse pattern, replicating Kasser and Sheldon (2000), would occur for people in the self-interest norm conditions.","2X2 BS","Belief/Attitude","interaction (2X2)","TMT","OTHER (subliminal death)","","","","","OTHER (subliminal pain)","","common interest vs. self-interest norm","","","","forest management game third bid","","2: worldy possessions","Desire","0","0","information not available","y","1: USA",1,"2X2 ANOVA","For the third bid (i.e. participants were informed that in the first year the companies had cut 100 acres altogether) the results showed the predicted two-way interaction, F(1, 97) = 5.48, p < .03.","F","5.48","1,97","0.25",104,"F(1, 97)=5.48","","",4,26
527,"Fritsche, I., Jonas, E., Kayser, D. N., & Koranyi, N. (2010). Existential threat and compliance with pro-environmental norms. Journal of Environmental Psychology, 30(1), 67–79. https://doi.org/10.1016/j.jenvp.2009.08.007","Existential threat and compliance with pro-environmental norms.","2010",3,"","Y","3","In Study 3, we aimed at replicating this basic pattern for actual pro-environmental behavior (using reusable instead of disposable cups).","2X2 BS","Target Features ","interaction (2X2)","TMT","OTHER (funeral poem)","","","","","OTHER (neutral poem)","","pro vs. anti-environmental norm","","","","reusable cup choice","","5: other worldview intentions for environmentalism","Attitudes and Beliefs","0","0","23.3","y","1: USA",1,"2X2 ANOVA","Most importantly, however, there was the predicted interaction of MS and norm salience, F(1,99) = 6.25; p =.014.","F","6.25","1,99","0.25",107,"F(1, 99)=6.25","","",4,26.75
528,"Fritsche, I., Koranyi, N., Beyer, C., Jonas, E., & Fleischmann, B. (2009). Enemies welcome: Personal threat and reactions to outgroup doves and hawks. International Review of Social Psychology, 22 (3/4), 157-179.","Enemies welcome: Personal threat and reactions to outgroup doves and hawks.","2009",2,"","Y","1","We hypothesized that the difference in judgments of Muslim supporters (hawks) and opponents (doves) of terrorism should be reduced for participants in a classical MS condition (death salience) compared to those in a dental pain control condition.","2WX2B","Belief/Attitude","interaction (2X2m)","TMT","MAPS","","","","","DP","","outgroup (doves/hawks)","","","","willingness to support target","","5: Religion (other)","Attitudes and Beliefs","2 (PANAS + sleep questionnaire)","2","25","y","2: Germany",2,"2X2 MS ANOVA","Most interestingly, however, we found the predicted interaction of MS and target, F(1,27) = 5.97; p = .02, revealing that MS only affected the evaluation of doves, F(1,27) = 5.72; p = .02, but not the evaluation of hawks, F(1,27) = 1.22; n.s.:","F","5.97","1,27","NA (p<.001)",30,"F(1, 27)=5.97","","",2,15
529,"Fritsche, I., Koranyi, N., Beyer, C., Jonas, E., & Fleischmann, B. (2009). Enemies welcome: Personal threat and reactions to outgroup doves and hawks. International Review of Social Psychology, 22 (3/4), 157-179.","Enemies welcome: Personal threat and reactions to outgroup doves and hawks.","2009",2,"","Y","2","we hypothesized that shaking people’s global sense of control (here: by reminding them of the uncontrollability vs. partial controllability of relationship break-ups) should also lead to a more positive assessment of stereotype confirming and a more negative assessment of stereotype disconfirming outgroup members, implying less positive reactions towards Muslim opponents and less negative reactions towards Muslim supporters of Islamist terrorism.","2WX2B","Belief/Attitude","interaction (2X2m)","TMT","OTHER (being dumped)","","","","","OTHER (you break off your relationship)","","outgroup (doves/hawks)","","","","willingness to support target","","5: Religion (other)","Attitudes and Beliefs","2 (PANAS + sleep questionnaire)","2","22","y","2: Germany",2,"2X2 MS ANOVA","Most interestingly, a significant interaction of control salience and target, F(1,20) = 8.37; p = .009, provides support for our hypothesis that salient lack of control increases the evaluation of outgroup hawks, F(1,20) = 9.16; p = .007.","F","8.37","1,20","0.007",22,"F(1, 20)=8.37","","",2,11
530,"Gailliot, M. T. (2012). Mortality salience and metabolism: Glucose drinks reduce worldview defense caused by mortality salience. Psychology, 3(11), 991–996. https://doi.org/10.4236/psych.2012.311149","Mortality salience and metabolism: Glucose drinks reduce worldview defense caused by mortality salience.","2012",1,"","Y","1","The prediction was that mortality salience would increase worldview defense but that this effect would be attenuated among participants who consumed a glucose drink.","2X2 BS","Activity","interaction (2X2)","TMT","MAPS","","","","","DP","","sugar vs. artificial sweetener","","","","anti-US essay","","5. nationalism","Attitudes and Beliefs","measures of liking/taste of drink","1","information not available","y","1: USA",1,"2X2 ANOVA","A 2 (Drink condition: Glucose drink vs. placebo) × 2 (Essay condition: Mortality salience vs. dental pain) analysis of variance (ANOVA) on worldview defense scores indicated a significant interaction, F(1,89) = 4.04, p < .05","F","4.04","1,89","<.05",93,"F(1, 89)=4.04","","",4,23.25
532,"Gailliot, M. T., Sillman, T. F., Schmeichel, B. J., Maner, J. K., & Plant, E. A. (2008). Mortality salience increases adherence to salient norms and values. Personality and Social Psychology Bulletin, 34, 993-1003.","Mortality salience increases adherence to salient norms and values.","2008",4,"","Y","1","We predicted that mortality salience (relative to control) would decrease prejudice, but only when egalitarian values were made salient.","2X2 BS","Content Feature","interaction (2X2XC)","TMT","MAPS","","","","","DP","","egalitarian vs. control paragraph","","","","attitudes towards black people","","5: outgroup black people","Attitudes and Beliefs","none","0",NA,"n","1: USA",1,"ANCOVA (controlling for IMS / EMS)","A 2 (mortality salience vs. dental pain) × 2 (egalitarianism salience vs. control) analysis of covariance (ANCOVA) on prejudiced attitudes controlling for IMS/EMS scores indicated a significant interaction effect, F(1, 43) = 4.40, p < .05.","F","4.4","1,43","<.05",45,"F(1, 43)=4.4","","",4,11.25
533,"Gailliot, M. T., Sillman, T. F., Schmeichel, B. J., Maner, J. K., & Plant, E. A. (2008). Mortality salience increases adherence to salient norms and values. Personality and Social Psychology Bulletin, 34, 993-1003.","Mortality salience increases adherence to salient norms and values.","2008",4,"","Y","2","We predicted that a reminder about the American value of helping coupled with a mortality salience induction would produce the highest levels of helping relative to the other conditions.","2X2 BS","Cu","main effect (2)","TMT","MAPS","","","","","DP","","prime (importance of helping vs. control)","","","","willingness to help","","3: other willingness to help","Prosociality","none","0",NA,"n","1: USA",1,"planned comparison (eXperimental vs. 3 control groups)","To test our prediction more directly, we conducted a planned comparison that contrasted the mortality salience/helping salient condition to the other three. The comparison was significant and in line with predictions, F(1, 60) = 4.76, p < .05","F","4.76","1,60","<.05",64,"F(1, 60)=4.76","","",4,16
534,"Gailliot, M. T., Sillman, T. F., Schmeichel, B. J., Maner, J. K., & Plant, E. A. (2008). Mortality salience increases adherence to salient norms and values. Personality and Social Psychology Bulletin, 34, 993-1003.","Mortality salience increases adherence to salient norms and values.","2008",4,"","Y","3","We predicted that, relative to participants walking one block from the cemetery, participants walking through the cemetery would be more likely to help a stranger by picking up the dropped folder primarily when participants had been reminded about the American cultural value of helping.","2X2 BS","Target Feature","interaction (2X2)","TMT","OTHER (walking through cemetery)","","","","","OTHER (walking beside cemetery)","","confederate says ""I agree, helping is an American value""","","","","willingness to help","","3: other willingness to help","Prosociality","none","0","information not available","n","1: USA",1,"logistic regression","However, consistent with predictions, their interaction was significant, B = .57, Wald statistic = 7.61, p < .01 (see Figure 3).","chi2","7.61","1","",108,"Wald(1, 51)=7.61","","",4,27
535,"Gailliot, M. T., Sillman, T. F., Schmeichel, B. J., Maner, J. K., & Plant, E. A. (2008). Mortality salience increases adherence to salient norms and values. Personality and Social Psychology Bulletin, 34, 993-1003.","Mortality salience increases adherence to salient norms and values.","2008",4,"","Y","4","We predicted that participants walking nearby rather than away from the cemetery would be more likely to help, especially when the confederate was in a wheelchair.","2X2 BS","Target Feature","interaction (2X2)","TMT","OTHER(walking through a cemetery)","","","","","OTHER (walking a block away from a cemetery)","","confederate in wheelchair vs. not","","","","helping behavior","","6: helping behaviour","Behavior","none","0","information not available","n","1: USA",1,"logistic regression","The main effect of value salience was qualified by a significant interaction between location and value salience condition, B = .43, Wald statistic = 3.88, p < .05","chi2","3.88","1","",113,"Wald(109)=3.88","","",4,28.25
542,"Gailliot, M., Schmeichel, B., Baumeister, R. (2006). Self-regulatory processes defend against the threat of death: Effects of self-control depletion and trait self-control on thoughts and fears of dying. Journal of Personality and Social Psychology, 91,49-62.","Self-regulatory processes defend against the threat of death: Effects of self-control depletion and trait self-control on thoughts and fears of dying.","2006",9,"","Y","7","Consistent with the idea that coping with thoughts of death depletes self-regulatory resources, we therefore predicted that mortality salience would cause participants to perform worse on problems requiring analytical reasoning but not rote memory","2X2 BS","Content Feature","interaction (2X2)","TMT","MAPS","","","","","OTHER (uncertainty salience)","","problem type: analytical vs rote memory problems","","","","self-control (number of problem solved)","","7: other self-regulation (analytic reasoning and rote memory)","Cognition","1, filler questionnaire","1","information not available","y","1: USA",1,"2X2 ANOVA","A 2 (mortality vs. uncertainty salience) x 2 (analytical vs. rote memory problems) between-subjects analysis of variance indicated a significant interaction between mortality-salience condition and problem type, F(1, 33) = 4.76, p < .05","F","4.76","1,33","NA (p<.05)",37,"F(1, 33)=4.76","","DV is not worldview defense related, unsure if can be p-curved, please double check",4,9.25
546,"Gao, T., Zhou, Y., Li, W., Pfabigan, D. M., & Han, S. (2019). Neural mechanisms of reinforcement learning under mortality threat. Social Neuroscience. https://doi.org/10.1080/17470919.2019.1668846","Neural mechanisms of reinforcement learning under mortality threat.","2019",1,"","Y","1","Given the potential distinct functions and sources of the FRN and midfrontal theta activity during RL, one may expect discrepant effects of MS priming on phase-locked FRN amplitudes and non-phase-locked midfrontal theta power in response to no-reward feedback during RL.","2X3 BS","Target Feature","interaction (2X2)","TMT","OTHER (response to death statements)","","","","","OTHER (response to neutral statements)","","self vs. stranger vs. no one","","","","ERPs to learning stimuli","","8: ERP learning stimuli","Neural and Physiological","calculations","1","20.05","y","3: China",3,"2X2 ANOVA","and a significant interaction of Group × Target (F (2, 116) = 3.12, p = .048","F","3.12","2,116","",60,"F(2, 116)=3.12","","",6,10
553,"Gebauer, F., Raab, M. H., & Carbon, C.-C. (2017). Imagine all the forces: The impact of threatening news coverage on the willingness to militarily engage in the resurgence of the East versus West conflict. Journal of Media Psychology: Theories, Methods, and Applications, 29(2), 102–108. https://doi.org/10.1027/1864-1105/a000180","Imagine all the forces: The impact of threatening news coverage on the willingness to militarily engage in the resurgence of the East versus West conflict.","2017",1,"","Y","1","Hypothesis 1 (H1): That sections from the original, bellicose article from Der Spiegel increase willingness to militarily engage in conflict. Hypothesis 2 (H2): Participants under explicit existential threat will show an increased willingness for military engagement in the Ukraine crisis.","2X2 BS","Cog","interaction (2X2)","TMT","MAPS","","","","","DP","","bellicose article vs. non-militant article","","","","willingness to send forces","","5: support for target program military intervention","Attitudes and Beliefs","word search","1","information not available","y","2: Germany",2,"2X2 ANOVA","No main effect was observed for salience condition, F(1,108) = 1.62, ns, whereas an interaction effect for article by salience condition was obtained, F(1,108) = 5.26, p = .024","F","5.26","1,108","ns",112,"F(1, 108)=5.26","","",4,28
